"scenario","time_point","method","n_valid","mean_estimate","mean_bias","empirical_sd","mean_se","rmse","coverage","mean_runtime","true_RD"
"dep_censor",180,"TMLE",10,-0.00503,-0.009589,0.032278,0.014973,0.032088,0.4,0.062,0.004558
"dep_censor",180,"TMLE-CF",10,0.033266,0.028708,0.03464,0.18198,0.043635,1,0.237,0.004558
"dep_censor",180,"AIPW",10,0.004184,-0.000374,0.026817,0.0142,0.025444,0.3,0.06,0.004558
"dep_censor",180,"IPTW",10,0.01302,0.008462,0.015382,0.004546,0.016868,0.3,0.011,0.004558
"dep_censor",180,"G-computation",10,0.007239,0.002681,0.0161,0,0.015507,0,5.607,0.004558
"dep_censor",180,"Cox PH",10,0.004501,-5.7e-05,0.01075,NA,0.010198,NA,0.727,0.004558
"dep_censor",90,"TMLE",10,0.011409,0.007903,0.018234,0.005843,0.019018,0.4,0.072,0.003506
"dep_censor",90,"TMLE-CF",10,0.000143,-0.003363,0.02314,0.101957,0.022209,1,0.238,0.003506
"dep_censor",90,"AIPW",10,0.010447,0.006941,0.019134,0.004987,0.019434,0.1,0.046,0.003506
"dep_censor",90,"IPTW",10,0.012527,0.009021,0.007548,0.003604,0.011518,0.5,0.013,0.003506
"dep_censor",90,"G-computation",10,0.010679,0.007173,0.019203,0,0.019579,0,5.662,0.003506
"dep_censor",90,"Cox PH",10,0.001451,-0.002055,0.003374,NA,0.003804,NA,0.631,0.003506
"nonlinear",180,"TMLE",10,0.005745,0.00072,0.037849,0.013765,0.035914,0.4,0.062,0.005026
"nonlinear",180,"TMLE-CF",10,0.014607,0.009581,0.039686,0.259441,0.03885,1,0.303,0.005026
"nonlinear",180,"AIPW",10,0.000298,-0.004728,0.023486,0.012514,0.022777,0.4,0.048,0.005026
"nonlinear",180,"IPTW",10,0.015877,0.010851,0.021731,0.005359,0.023298,0.3,0.013,0.005026
"nonlinear",180,"G-computation",10,0.000899,-0.004127,0.023152,0,0.022348,0,5.412,0.005026
"nonlinear",180,"Cox PH",10,0.007749,0.002724,0.020743,NA,0.019866,NA,0.755,0.005026
"nonlinear",90,"TMLE",10,0.006183,0.00256,0.026318,0.006463,0.025098,0.2,0.058,0.003623
"nonlinear",90,"TMLE-CF",10,0.022494,0.018871,0.020226,0.060678,0.026913,1,0.225,0.003623
"nonlinear",90,"AIPW",10,0.003955,0.000331,0.026506,0.006649,0.025148,0.1,0.059,0.003623
"nonlinear",90,"IPTW",10,0.005705,0.002082,0.013115,0.004616,0.012615,0.6,0.011,0.003623
"nonlinear",90,"G-computation",10,0.002848,-0.000775,0.027607,0,0.026202,0,6.393,0.003623
"nonlinear",90,"Cox PH",10,0.005728,0.002105,0.017063,NA,0.016324,NA,0.828,0.003623
"np_hazard",180,"TMLE",10,-0.010095,-0.01103,0.031516,0.006753,0.031868,0.4,0.062,0.000935
"np_hazard",180,"TMLE-CF",10,-0.094392,-0.095327,0.296128,0.334766,0.296665,1,0.262,0.000935
"np_hazard",180,"AIPW",10,-0.00534,-0.006275,0.027873,0.006393,0.027177,0.2,0.059,0.000935
"np_hazard",180,"IPTW",10,-0.010108,-0.011043,0.0242,0.004892,0.025477,0.6,0.014,0.000935
"np_hazard",180,"G-computation",10,-0.004227,-0.005162,0.027098,0,0.026221,0,5.311,0.000935
"np_hazard",180,"Cox PH",10,0.002049,0.001114,0.019485,NA,0.018519,NA,0.694,0.000935
"np_hazard",90,"TMLE",10,-0.004668,-0.006047,0.023738,0.004013,0.023318,0.2,0.055,0.001379
"np_hazard",90,"TMLE-CF",10,-0.007768,-0.009147,0.021525,0.300672,0.022376,1,0.261,0.001379
"np_hazard",90,"AIPW",10,-0.00498,-0.006359,0.024759,0.00329,0.024334,0.1,0.049,0.001379
"np_hazard",90,"IPTW",10,-0.001159,-0.002538,0.008075,0.003586,0.00807,0.5,0.008,0.001379
"np_hazard",90,"G-computation",10,-0.004982,-0.006361,0.024792,0,0.024365,0,5.251,0.001379
"np_hazard",90,"Cox PH",10,0.001107,-0.000272,0.0035,NA,0.003331,NA,0.697,0.001379
"simple",180,"TMLE",10,0.000621,0.000247,0.004003,0.001871,0.003805,0.9,0.068,0.000374
"simple",180,"TMLE-CF",10,0.000854,0.00048,0.007133,0.105161,0.006784,1,0.284,0.000374
"simple",180,"AIPW",10,0.000588,0.000214,0.002054,0.000562,0.00196,0.8,0.061,0.000374
"simple",180,"IPTW",10,0.003078,0.002704,0.01582,0.002075,0.01525,0,0.013,0.000374
"simple",180,"G-computation",10,0.00057,0.000196,0.001985,0,0.001894,0,6.976,0.000374
"simple",180,"Cox PH",6,0,-0.000374,0,NA,0.000374,NA,0.7,0.000374
"simple",90,"TMLE",10,0.000724,0.000396,0.003283,0.001415,0.003139,0.7,0.088,0.000327
"simple",90,"TMLE-CF",10,-0.000894,-0.001221,0.006363,0.1004,0.006159,1,0.298,0.000327
"simple",90,"AIPW",10,0.000625,0.000297,0.001964,0.000407,0.001887,0.6,0.065,0.000327
"simple",90,"IPTW",10,0.002327,0.001999,0.012326,0.001716,0.011863,0,0.026,0.000327
"simple",90,"G-computation",10,0.00062,0.000293,0.001962,0,0.001884,0,7.281,0.000327
"simple",90,"Cox PH",6,0,-0.000327,0,NA,0.000327,NA,0.745,0.000327
"switching",180,"TMLE",10,0.011003,0.006023,0.036187,0.032597,0.034855,0.4,0.054,0.004979
"switching",180,"TMLE-CF",10,-0.002428,-0.007407,0.035493,0.853249,0.034477,1,0.276,0.004979
"switching",180,"AIPW",10,0.01983,0.014851,0.050287,0.032306,0.049964,0.4,0.052,0.004979
"switching",180,"IPTW",10,0.006763,0.001784,0.03867,0.006912,0.036728,0.2,0.018,0.004979
"switching",180,"G-computation",10,0.001746,-0.003233,0.029205,0,0.027894,0,5.255,0.004979
"switching",180,"Cox PH",10,0.000879,-0.0041,0.028159,NA,0.027026,NA,0.869,0.004979
"switching",90,"TMLE",10,0.001757,-0.001842,0.027175,0.007391,0.025846,0.2,0.052,0.0036
"switching",90,"TMLE-CF",10,0.003182,-0.000418,0.03403,2.519279,0.032287,1,0.26,0.0036
"switching",90,"AIPW",10,0.002651,-0.000949,0.026776,0.007009,0.025419,0.1,0.045,0.0036
"switching",90,"IPTW",10,0.008017,0.004417,0.010578,0.004757,0.010965,0.6,0.01,0.0036
"switching",90,"G-computation",10,0.001109,-0.002491,0.026892,0,0.025634,0,6.929,0.0036
"switching",90,"Cox PH",10,0.004202,0.000602,0.007041,NA,0.006707,NA,1.025,0.0036
