"subset","method","n_reps","bias","rmse","emp_sd","mean_se","coverage","mcse_coverage"
"all","Crude",200,0.108417,0.114336,0.0364,0.038122,0.17,0.0266
"all","Adj. Regression",200,0.000492,0.052763,0.052893,0.001304,0.045,0.0147
"all","IPTW",200,0.022403,0.109728,0.107686,0.085755,0.855,0.0249
"all","PS-Matched Reg.",200,0.002578,0.06524,0.065353,0.00244,0.05,0.0154
"all","TMLE (IC)",200,-0.007663,0.104299,0.104278,0.070698,0.8,0.0283
"all","TMLE (tboot)",200,-0.007663,0.104299,0.104278,0.07084,0.74,0.031
"all","TMLE (npboot)",200,-0.007663,0.104299,0.104278,NA,0,0
"overlap_bad","Crude",200,0.108417,0.114336,0.0364,0.038122,0.17,0.0266
"overlap_bad","Adj. Regression",200,0.000492,0.052763,0.052893,0.001304,0.045,0.0147
"overlap_bad","IPTW",200,0.022403,0.109728,0.107686,0.085755,0.855,0.0249
"overlap_bad","PS-Matched Reg.",200,0.002578,0.06524,0.065353,0.00244,0.05,0.0154
"overlap_bad","TMLE (IC)",200,-0.007663,0.104299,0.104278,0.070698,0.8,0.0283
"overlap_bad","TMLE (tboot)",200,-0.007663,0.104299,0.104278,0.07084,0.74,0.031
"overlap_bad","TMLE (npboot)",200,-0.007663,0.104299,0.104278,NA,0,0
