"subset","method","n_total","n_success","n_ci","bias","rmse","emp_sd","mean_se","coverage","mcse_coverage"
"all","Crude",50,50,50,0.066956,0.090178,0.06102,0.064418,0.8,0.0566
"all","Adj. Regression",50,50,50,-0.012237,0.076332,0.076109,0.001684,0.02,0.0198
"all","IPTW",50,50,50,-0.017807,0.168052,0.168803,0.119043,0.82,0.0543
"all","PS-Matched",50,50,50,-0.022984,0.101427,0.099791,0.115641,0.92,0.0384
"all","TMLE-GLM (IC)",50,50,50,-0.040183,0.181243,0.178527,0.111882,0.8,0.0566
"all","TMLE-GLM (mult.boot)",50,50,50,-0.040183,0.181243,0.178527,0.110986,0.78,0.0586
"all","TMLE-ML (IC)",50,50,50,-0.024309,0.138986,0.138233,0.089973,0.84,0.0518
"all","TMLE-ML (mult.boot)",50,50,50,-0.024309,0.138986,0.138233,0.090419,0.8,0.0566
"all","CV-TMLE-ML (IC)",50,50,50,-0.008902,0.134739,0.135809,0.081247,0.66,0.067
"all","CV-TMLE-ML (mult.boot)",50,50,50,-0.008902,0.134739,0.135809,0.08141,0.62,0.0686
"overlap_ok","Crude",10,10,10,0.056594,0.08043,0.060241,0.064721,0.9,0.0949
"overlap_ok","Adj. Regression",10,10,10,-0.015396,0.062842,0.064222,0.0017,0.1,0.0949
"overlap_ok","IPTW",10,10,10,0.007815,0.109209,0.114821,0.098636,0.9,0.0949
"overlap_ok","PS-Matched",10,10,10,-0.015851,0.079003,0.081583,0.096275,0.9,0.0949
"overlap_ok","TMLE-GLM (IC)",10,10,10,-0.01712,0.116369,0.121329,0.092905,0.9,0.0949
"overlap_ok","TMLE-GLM (mult.boot)",10,10,10,-0.01712,0.116369,0.121329,0.093392,0.9,0.0949
"overlap_ok","TMLE-ML (IC)",10,10,10,-0.005786,0.097391,0.102478,0.078521,0.9,0.0949
"overlap_ok","TMLE-ML (mult.boot)",10,10,10,-0.005786,0.097391,0.102478,0.076851,0.8,0.1265
"overlap_ok","CV-TMLE-ML (IC)",10,10,10,0.007831,0.107645,0.113168,0.086145,0.8,0.1265
"overlap_ok","CV-TMLE-ML (mult.boot)",10,10,10,0.007831,0.107645,0.113168,0.088274,0.8,0.1265
"overlap_bad","Crude",40,40,40,0.069546,0.092455,0.061695,0.064342,0.775,0.066
"overlap_bad","Adj. Regression",40,40,40,-0.011447,0.079347,0.079517,0.001681,0,0
"overlap_bad","IPTW",40,40,40,-0.024212,0.179778,0.18041,0.124145,0.8,0.0632
"overlap_bad","PS-Matched",40,40,40,-0.024767,0.106296,0.104687,0.120483,0.925,0.0416
"overlap_bad","TMLE-GLM (IC)",40,40,40,-0.045948,0.194103,0.190989,0.116626,0.775,0.066
"overlap_bad","TMLE-GLM (mult.boot)",40,40,40,-0.045948,0.194103,0.190989,0.115385,0.75,0.0685
"overlap_bad","TMLE-ML (IC)",40,40,40,-0.02894,0.147564,0.146541,0.092836,0.825,0.0601
"overlap_bad","TMLE-ML (mult.boot)",40,40,40,-0.02894,0.147564,0.146541,0.093811,0.8,0.0632
"overlap_bad","CV-TMLE-ML (IC)",40,40,40,-0.013085,0.140699,0.141874,0.080022,0.625,0.0765
"overlap_bad","CV-TMLE-ML (mult.boot)",40,40,40,-0.013085,0.140699,0.141874,0.079694,0.575,0.0782
