"time_point","method","risk_1","risk_0","RD","RR","se_RD","ci_lower","ci_upper"
90,"TMLE",0.002224,0.001725,0.000499,1.2892,0.00055,-0.00058,0.001577
90,"AIPW",0.00366,0.002187,0.001472,1.6732,0.00055,0.000394,0.002551
90,"IPTW",0.002319,0.00129,0.00103,1.7983,0.000103,0.000827,0.001232
90,"G-computation",0.001455,0.000865,0.00059,1.6818,0,0.00059,0.00059
90,"Cox PH (standardized)",0.000396,0.000259,0.000137,1.5287,NA,NA,NA
180,"TMLE",0.004656,0.003948,0.000708,1.1792,0.00168,-0.002585,0.004
180,"AIPW",0.014002,0.007857,0.006145,1.782,0.00168,0.002852,0.009437
180,"IPTW",0.005354,0.002663,0.002691,2.0107,0.000125,0.002446,0.002937
180,"G-computation",0.002249,0.001256,0.000993,1.7908,0,0.000993,0.000993
180,"Cox PH (standardized)",0.000885,0.000579,0.000306,1.5285,NA,NA,NA
